Product ID,Product Name,total_sales,total_profit,total_quantity,profit_margin
OFF-BI-10004995,GBC DocuBind P400 Electric Binding System,12577.108,762.1543999999994,16,0.060598541413495015
OFF-SU-10002881,Martin Yale Chadless Opener Electric Letter Opener,12268.902,-1232.5588,16,-0.10046202993552317
FUR-CH-10002024,HON 5400 Series Task Chairs for Big and Tall,11887.562,70.09800000000007,21,0.005896751579508067
FUR-CH-10001215,Global Troy Executive Leather Low-Back Tilter,10217.894,776.519,25,0.07599599291204234
OFF-BI-10003527,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,9756.524000000001,-508.3960000000002,16,-0.05210831234566738
TEC-MA-10000418,Cubify CubeX 3D Printer Double Head Print,9323.969000000001,-6239.9792,7,-0.6692406634985594
OFF-SU-10000151,High Speed Automatic Electric Letter Opener,8842.662,-589.5108,6,-0.06666666666666667
FUR-TA-10001095,Chromcraft Round Conference Tables,8080.053,-158.60389999999998,59,-0.019629066789537145
TEC-PH-10002885,Apple iPhone 5,7734.994000000001,552.3555000000001,15,0.07140994550222018
OFF-ST-10003716,Tennsco Double-Tier Lockers,7287.64,544.5484,34,0.07472218715523818
FUR-TA-10003473,Bretford Rectangular Conference Table Tops,6603.5335000000005,90.2712,23,0.013670135844695872
OFF-BI-10001120,Ibico EPK-21 Electric Binding System,6437.965999999999,-1285.1932,8,-0.19962721145156717
OFF-ST-10004459,Tennsco Single-Tier Lockers,5719.692,-168.90299999999996,15,-0.029530086585081848
FUR-TA-10004915,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",5705.816,-66.82720000000003,23,-0.011712119703825016
TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,5676.967000000001,-2719.984,7,-0.4791262658387832
FUR-TA-10001950,Balt Solid Wood Round Tables,5534.178,-647.4105,15,-0.11698403990619745
FUR-TA-10000198,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,5322.408,-870.5484,13,-0.16356288356698698
FUR-CH-10000785,Global Ergonomic Managers Chair,4933.872,492.2656,32,0.09977267347024811
TEC-PH-10000560,Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),4874.862,41.99880000000002,19,0.008615382343130947
FUR-TA-10004575,Hon 5100 Series Wood Tables,4828.974,-29.097999999999956,20,-0.006025710637497728
TEC-PH-10001817,Wilson Electronics DB Pro Signal Booster,4548.2,-3.579999999999984,17,-0.0007871245767556361
